sensor_index,longitude,latitude
9732,-122.544304482717,47.2534630639203
17663,-122.375810739917,47.2751529494637
98105,-122.523105302807,47.2765418097639
190605,-122.445722789705,47.2642214357175
194473,-122.407948409197,47.2973731416045
171217,-122.441356589767,47.2513239295534
156499,-122.429219760075,47.300200463549
15203,-122.385207514474,47.2654688706901
171177,-122.516855400273,47.251639799814
174613,-122.500872631858,47.2968232065361
177979,-122.498634311366,47.259186758036
50485,-122.45477945788,47.2535337077424
51969,-122.501362368562,47.2443548953653
167413,-122.49510699962,47.1973003001248
185377,-122.403252086736,47.2357366006406
136172,-122.448556613315,47.2216372544041
167065,-122.414498001308,47.1979028295585
173501,-122.446942056569,47.1836640216342
192199,-122.462215482341,47.2544416982283
154963,-122.500449771254,47.2729949430792
7384,-122.498678529282,47.1987446932387
224449,-122.49165301654,47.2402785310818
94745,-122.456952787003,47.1714207976848
167029,-122.47456,47.2077
183853,-122.425289,47.214961
183863,-122.480575,47.268584
183883,-122.437637819248,47.1733110506403
183851,-122.556395426113,47.1462073608558
183853,-122.556395426113,47.1462073608558
13499,-122.5171,47.2001
71029,-122.3451,47.1904
199129,-122.41588,47.17743
171221,-122.4974,47.1468
199129,-122.41588,47.17743
86009,-122.309294563209,47.327137942351
26687,-122.4141,47.2654
167399,-122.35243,47.24579