long,lat,name,sensor_index
-122.321116028117,47.2650850080418,pa_167399,167399
-122.292193,47.172614,pa_175733,175733
-122.3391022,47.1619391,pa_71029,71029
-122.2180929,47.0485833333333,pa_167257,167257
-122.287830319732,47.057738516886,pa_167047,167047
-122.627148877822,47.3297135827278,pa_80321,80321
-122.601055860682,47.3532795995699,pa_171237,171237
-122.568029453636,47.3356694024408,pa_152162,152162
-122.572146397448,47.3477292901501,pa_96765,96765
-122.611690108564,47.2927573043486,pa_205579,205579
-122.532889,47.298695,pa_135354,135354
-122.618546978306,47.2997478973324,pa_177455,177455
-122.544304482717,47.2534630639203,pa_9732,9732
-122.375813255184,47.2751526257446,pa_17663,17663
-122.523087499146,47.2765416418931,pa_98105,98105
-122.407949717369,47.2973729050092,pa_194473,194473
-122.441356589767,47.2513239295534,pa_171217,171217
-122.429219760075,47.300200463549,pa_156499,156499
-122.385214433034,47.2654743321575,pa_15203,15203
-122.516855555556,47.2516388888889,pa_171177,171177
-122.500919469976,47.2966605181099,pa_174613,174613
-122.498634442274,47.2591889599772,pa_177979,177979
-122.454978126868,47.2535593182578,pa_50485,50485
-122.501353228968,47.2443566964095,pa_51969,51969
-122.495108333333,47.1973,pa_167413,167413
-122.403252086736,47.2357366006406,pa_185377,185377
-122.448556211967,47.2216373793252,pa_136172,136172
-122.414498001308,47.1979028295585,pa_167065,167065
-122.446942056569,47.1836640216342,pa_173501,173501
-122.462216666667,47.2544416666667,pa_192199,192199
-122.49867257298,47.1987537962193,pa_7384,7384
-122.49165301654,47.2402785310818,pa_224449,224449
-122.457029019513,47.1715721683244,pa_94745,94745
-122.425320224551,47.2149180813833,pa_183853,183853
-122.480456655621,47.2684692734047,pa_183863,183863
-122.437638888889,47.1733111111111,pa_183883,183883
-122.556395426113,47.1462073608558,pa_183851,183851